Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
2001,20,NYK,New York Knicks,2-2,3-1,2-1,3-1,2-2,1-1,1-1,2-1,2-0,0-2,2-2,1-1,2-0,3-2,2-1,2-0,2-2,,3-1,1-3,1-1,1-1,1-1,2-0,1-1,1-3,0-2,1-1,4-0
2001,22,ORL,Orlando Magic,3-1,3-1,1-2,3-1,3-1,1-1,2-0,2-2,2-0,1-1,2-2,1-1,0-2,1-3,0-4,1-1,3-1,1-3,,3-1,1-1,0-2,0-2,1-1,1-1,2-1,0-2,2-0,3-1
2001,23,PHI,Philadelphia 76Ers,3-0,4-0,2-2,3-1,4-0,1-1,1-1,4-0,2-0,1-1,3-0,1-1,1-1,3-1,2-2,1-1,3-1,3-1,1-3,,1-1,1-1,1-1,1-1,1-1,1-3,1-1,2-0,4-0
2001,24,PHO,Phoenix Suns,2-0,0-2,2-0,2-0,2-0,3-1,4-0,1-1,2-2,3-1,1-1,2-2,1-3,2-0,2-0,1-3,1-1,1-1,1-1,1-1,,3-1,1-3,2-2,3-1,2-0,2-2,3-1,1-1
2001,25,POR,Portland Trail Blazers,1-1,1-1,2-0,2-0,1-1,2-2,2-2,2-0,4-0,3-1,2-0,2-2,2-2,1-1,2-0,1-3,2-0,1-1,2-0,1-1,1-3,,1-3,1-3,2-2,2-0,3-1,2-2,2-0
2001,26,SAC,Sacramento Kings,1-1,2-0,1-1,2-0,1-1,2-2,2-2,2-0,4-0,4-0,0-2,3-1,1-3,1-1,0-2,2-2,2-0,1-1,2-0,1-1,3-1,3-1,,2-2,2-2,2-0,3-1,4-0,2-0
2001,27,SAS,San Antonio Spurs,2-0,2-0,1-1,1-1,2-0,3-1,2-2,2-0,4-0,3-1,2-0,4-0,2-2,1-1,0-2,3-1,1-1,0-2,1-1,1-1,2-2,3-1,2-2,,3-1,1-1,4-0,4-0,2-0
2001,21,SEA,Seattle Supersonics,1-1,0-2,2-0,2-0,2-0,1-3,2-2,0-2,4-0,2-2,1-1,4-0,4-0,1-1,2-0,1-3,1-1,1-1,1-1,1-1,1-3,2-2,2-2,1-3,,0-2,0-4,3-1,2-0
2001,28,TOR,Toronto Raptors,2-2,3-1,1-3,4-0,4-0,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,2-2,1-3,0-2,2-1,3-1,1-2,3-1,0-2,0-2,0-2,1-1,2-0,,1-1,2-0,4-0
2001,29,UTA,Utah Jazz,2-0,1-1,1-1,2-0,1-1,2-2,3-1,2-0,3-1,3-1,2-0,4-0,2-2,1-1,0-2,2-2,2-0,2-0,2-0,1-1,2-2,1-3,1-3,0-4,4-0,1-1,,4-0,2-0
2001,15,VAN,Vancouver Grizzlies,1-1,2-0,1-1,1-1,1-1,1-3,0-4,1-1,3-1,0-4,0-2,2-2,0-4,0-2,1-1,1-3,1-1,1-1,0-2,0-2,1-3,2-2,0-4,0-4,1-3,0-2,0-4,,2-0
2001,30,WAS,Washington Wizards,2-2,1-3,2-2,1-2,2-2,0-2,1-1,2-1,2-0,0-2,0-4,1-1,0-2,0-4,1-3,1-1,1-3,0-4,1-3,0-4,1-1,0-2,0-2,0-2,0-2,0-4,0-2,0-2,
