Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS
1998,14,LAL,Los Angeles Lakers,2-0,1-1,1-1,1-1,1-1,4-0,4-0,2-0,3-1,3-1,2-0,4-0,,1-1,2-0,4-0,1-1,1-1,1-1,0-2,2-2,2-2,4-0,4-0,1-3,2-0,3-1,4-0,1-1
1998,16,MIA,Miami Heat,3-1,4-0,1-3,1-2,3-1,2-0,2-0,2-1,2-0,2-0,1-3,2-0,1-1,,3-1,1-1,3-1,2-2,3-1,4-0,0-2,2-0,2-0,0-2,0-2,4-0,1-1,2-0,2-2
1998,17,MIL,Milwaukee Bucks,1-3,2-2,1-3,0-4,2-2,2-0,2-0,2-2,2-0,1-1,0-4,2-0,0-2,1-3,,1-1,0-4,3-1,2-1,2-2,0-2,2-0,2-0,0-2,1-1,3-1,0-2,1-1,1-2
1998,18,MIN,Minnesota Timberwolves,2-0,1-1,1-1,1-1,0-2,2-2,3-1,2-0,4-0,3-1,0-2,4-0,0-4,1-1,1-1,,2-0,1-1,0-2,2-0,3-1,1-3,3-1,1-3,1-3,1-1,1-3,4-0,0-2
1998,3,NJN,New Jersey Nets,2-1,2-2,2-2,0-4,1-3,2-0,2-0,2-2,2-0,1-1,1-2,1-1,1-1,1-3,4-0,0-2,,2-2,3-1,3-1,1-1,1-1,2-0,1-1,0-2,3-1,0-2,2-0,1-3
1998,20,NYK,New York Knicks,2-2,2-2,3-1,0-4,2-1,1-1,2-0,2-2,1-1,1-1,1-2,2-0,1-1,2-2,1-3,1-1,2-2,,4-0,2-2,2-0,1-1,1-1,0-2,1-1,3-1,0-2,2-0,1-3
1998,22,ORL,Orlando Magic,2-2,2-2,1-3,1-3,2-2,2-0,2-0,2-1,1-1,2-0,1-3,2-0,1-1,1-3,1-2,2-0,1-3,0-4,,4-0,0-2,2-0,0-2,0-2,1-1,3-1,0-2,2-0,3-1
1998,23,PHI,Philadelphia 76Ers,1-3,1-3,1-2,1-2,1-3,2-0,2-0,1-3,2-0,1-1,0-4,1-1,2-0,0-4,2-2,0-2,1-3,2-2,0-4,,1-1,1-1,1-1,0-2,0-2,2-2,0-2,2-0,3-1
1998,24,PHO,Phoenix Suns,2-0,2-0,1-1,1-1,0-2,4-0,4-0,1-1,4-0,3-1,1-1,4-0,2-2,2-0,2-0,1-3,1-1,0-2,2-0,1-1,,2-2,3-1,3-1,2-2,2-0,1-3,4-0,1-1
1998,25,POR,Portland Trail Blazers,1-1,1-1,0-2,1-1,1-1,4-0,2-2,2-0,3-1,3-1,1-1,4-0,2-2,0-2,0-2,3-1,1-1,1-1,0-2,1-1,2-2,,3-1,2-2,0-4,2-0,3-1,2-2,1-1
1998,26,SAC,Sacramento Kings,0-2,1-1,1-1,0-2,0-2,4-0,3-1,1-1,2-2,0-4,0-2,1-3,0-4,0-2,0-2,1-3,0-2,1-1,2-0,1-1,1-3,1-3,,0-4,1-3,1-1,2-2,2-2,1-1
1998,27,SAS,San Antonio Spurs,1-1,2-0,1-1,0-2,2-0,4-0,4-0,1-1,3-1,2-2,2-0,3-1,0-4,2-0,2-0,3-1,1-1,2-0,2-0,2-0,1-3,2-2,4-0,,2-2,2-0,1-3,4-0,1-1
1998,21,SEA,Seattle Supersonics,1-1,1-1,1-1,1-1,2-0,2-2,4-0,2-0,3-1,3-1,2-0,4-0,3-1,2-0,1-1,3-1,2-0,1-1,1-1,2-0,2-2,4-0,3-1,2-2,,2-0,2-2,4-0,1-1
1998,28,TOR,Toronto Raptors,0-4,0-3,0-4,0-4,1-3,1-1,2-0,0-4,2-0,0-2,0-4,1-1,0-2,0-4,1-3,1-1,1-3,1-3,1-3,2-2,0-2,0-2,1-1,0-2,0-2,,0-2,1-1,0-3
1998,29,UTA,Utah Jazz,2-0,2-0,1-1,2-0,1-1,4-0,4-0,2-0,4-0,4-0,1-1,3-1,1-3,1-1,2-0,3-1,2-0,2-0,2-0,2-0,3-1,1-3,2-2,3-1,2-2,2-0,,4-0,0-2
1998,15,VAN,Vancouver Grizzlies,0-2,0-2,0-2,0-2,0-2,0-4,3-1,2-0,3-1,1-3,0-2,3-1,0-4,0-2,1-1,0-4,0-2,0-2,0-2,0-2,0-4,2-2,2-2,0-4,0-4,1-1,0-4,,1-1
1998,30,WAS,Washington Wizards,0-4,2-3,2-2,1-3,2-1,1-1,1-1,2-2,2-0,1-1,0-4,2-0,1-1,2-2,2-1,2-0,3-1,3-1,1-3,1-3,1-1,1-1,1-1,1-1,1-1,3-0,2-0,1-1,
