Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1994,13,LAC,Los Angeles Clippers,1-1,1-1,1-1,0-2,0-2,4-0,1-3,1-1,1-4,0-4,0-2,,2-3,1-1,1-1,1-3,1-1,0-2,1-1,1-1,0-5,2-3,3-2,1-3,1-4,1-3,1-1
1994,14,LAL,Los Angeles Lakers,1-1,1-1,0-2,1-1,1-1,4-0,1-3,2-0,0-5,1-3,2-0,3-2,,1-1,2-0,3-1,0-2,0-2,2-0,1-1,3-2,0-5,1-4,0-4,0-5,2-2,1-1
1994,16,MIA,Miami Heat,1-3,3-2,3-1,2-2,3-1,2-0,1-1,2-2,0-2,0-2,1-3,1-1,1-1,,4-0,2-0,2-3,2-2,2-3,4-1,0-2,0-2,1-1,0-2,1-1,1-1,3-1
1994,17,MIL,Milwaukee Bucks,0-5,1-3,2-3,0-4,2-3,2-0,0-2,4-1,0-2,1-1,1-3,1-1,0-2,0-4,,0-2,1-3,0-4,1-3,1-3,0-2,1-1,1-1,0-2,0-2,0-2,1-3
1994,18,MIN,Minnesota Timberwolves,0-2,1-1,0-2,0-2,0-2,1-5,1-4,0-2,2-2,1-4,0-2,3-1,1-3,0-2,2-0,,1-1,0-2,1-1,2-0,0-4,0-4,2-2,1-4,0-4,1-4,0-2
1994,3,NJN,New Jersey Nets,3-1,4-1,2-2,1-3,2-2,2-0,1-1,3-1,2-0,0-2,1-3,1-1,2-0,3-2,3-1,1-1,,4-1,0-5,3-1,0-2,0-2,1-1,1-1,1-1,1-1,3-1
1994,20,NYK,New York Knicks,2-2,4-0,1-3,3-1,4-0,2-0,1-1,4-0,1-1,0-2,4-0,2-0,2-0,2-2,4-0,2-0,1-4,,3-2,3-2,1-1,2-0,2-0,1-1,1-1,0-2,5-0
1994,22,ORL,Orlando Magic,1-3,2-2,2-2,2-2,2-2,2-0,1-1,3-1,1-1,1-1,2-2,1-1,0-2,3-2,3-1,1-1,5-0,2-3,,4-0,1-1,2-0,2-0,0-2,1-1,2-0,4-1
1994,23,PHI,Philadelphia 76Ers,0-4,1-4,1-3,1-3,0-4,2-0,2-0,3-1,1-1,0-2,2-2,1-1,1-1,1-4,3-1,0-2,1-3,2-3,0-4,,0-2,0-2,0-2,0-2,0-2,1-1,2-3
1994,24,PHO,Phoenix Suns,1-1,1-1,0-2,1-1,2-0,4-0,3-1,1-1,3-2,2-2,1-1,5-0,2-3,2-0,2-0,4-0,2-0,1-1,1-1,2-0,,3-2,4-1,3-1,2-3,2-2,2-0
1994,25,POR,Portland Trail Blazers,1-1,1-1,2-0,2-0,0-2,3-1,3-1,2-0,2-3,0-4,1-1,3-2,5-0,2-0,1-1,4-0,2-0,0-2,0-2,2-0,2-3,,4-1,1-3,1-4,1-3,2-0
1994,26,SAC,Sacramento Kings,0-2,1-1,1-1,1-1,0-2,2-2,2-2,1-1,1-4,0-4,0-2,2-3,4-1,1-1,1-1,2-2,1-1,0-2,0-2,2-0,1-4,1-4,,1-3,0-5,1-3,2-0
1994,27,SAS,San Antonio Spurs,1-1,2-0,2-0,1-1,2-0,5-0,4-2,1-1,2-2,3-2,2-0,3-1,4-0,2-0,2-0,4-1,1-1,1-1,2-0,2-0,1-3,3-1,3-1,,0-4,0-5,2-0
1994,21,SEA,Seattle Supersonics,1-1,2-0,2-0,1-1,1-1,4-0,2-2,1-1,4-1,2-2,1-1,4-1,5-0,1-1,2-0,4-0,1-1,1-1,1-1,2-0,3-2,4-1,5-0,4-0,,3-1,2-0
1994,29,UTA,Utah Jazz,1-1,2-0,1-1,0-2,1-1,5-0,4-1,2-0,1-3,3-3,1-1,3-1,2-2,1-1,2-0,4-1,1-1,2-0,0-2,1-1,2-2,3-1,3-1,5-0,1-3,,2-0
1994,30,WAB,Washington Bullets,0-4,2-3,2-2,0-4,1-3,1-1,1-1,2-2,0-2,1-1,1-3,1-1,1-1,1-3,3-1,2-0,1-3,0-5,1-4,3-2,0-2,0-2,0-2,0-2,0-2,0-2,
