Season,Team ID,Team ABV,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2017,11,HOU,Houston Rockets,0-2,1-1,2-0,2-0,2-0,1-1,4-0,4-0,1-1,1-3,,0-2,2-1,2-1,2-2,0-2,1-1,3-1,3-1,2-0,3-1,2-0,2-0,4-0,2-1,4-0,1-3,1-1,1-2,2-0
2017,12,IND,Indiana Pacers,2-1,0-3,3-1,2-2,2-2,1-3,1-1,0-2,4-0,0-2,2-0,,2-0,1-1,1-1,1-2,1-3,1-1,1-1,1-3,2-0,4-0,3-1,1-1,1-1,2-0,0-2,1-2,1-1,1-3
2017,13,LAC,Los Angeles Clippers,2-0,1-1,1-1,2-0,2-0,2-0,2-2,1-3,1-1,0-4,1-2,0-2,,3-1,3-1,2-0,0-2,1-2,2-1,2-0,2-2,2-0,1-1,4-0,3-0,3-1,3-1,1-1,3-1,1-1
2017,14,LAL,Los Angeles Lakers,2-0,0-2,1-1,1-1,0-2,0-2,0-4,1-2,0-2,1-3,1-2,1-1,1-3,,2-1,1-1,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-2,0-4,2-2,1-3,0-2,0-4,0-2
2017,15,MEM,Memphis Grizzlies,1-1,0-2,1-1,1-1,1-1,1-1,2-2,3-0,1-1,2-2,2-2,1-1,1-3,1-2,,1-1,1-1,3-1,2-2,1-1,1-3,1-1,2-0,3-0,1-2,2-2,2-2,1-1,3-1,1-1
2017,16,MIA,Miami Heat,2-2,0-4,3-0,1-2,2-2,3-1,1-1,1-1,2-2,1-1,2-0,2-1,0-2,1-1,1-1,,3-1,2-0,1-1,1-2,0-2,1-3,2-2,1-1,0-2,2-0,0-2,1-3,1-1,4-0
2017,17,MIL,Milwaukee Bucks,1-3,1-2,4-0,3-1,2-1,1-3,0-2,0-2,3-1,0-2,1-1,3-1,2-0,1-1,1-1,1-3,,1-1,1-1,2-1,1-1,2-1,2-2,2-0,2-0,2-0,1-1,1-3,0-2,1-3
2017,18,MIN,Minnesota Timberwolves,2-0,0-2,1-1,2-0,1-1,0-2,2-1,2-2,0-2,1-3,1-3,1-1,2-1,2-2,1-3,0-2,1-1,,0-3,0-2,1-3,2-0,1-1,3-0,1-3,1-3,0-4,1-1,1-3,1-1
2017,19,NOP,New Orleans Pelicans,1-1,1-1,1-1,0-2,2-0,1-1,2-2,1-3,1-1,0-4,1-3,1-1,1-2,2-2,2-2,1-1,1-1,3-0,,2-0,0-4,1-1,1-1,3-1,3-1,1-2,1-3,0-2,0-3,0-2
2017,20,NYK,New York Knicks,1-3,1-3,2-2,3-0,2-1,0-4,1-1,0-2,2-2,0-2,0-2,3-1,0-2,1-1,1-1,2-1,1-2,2-0,0-2,,0-2,3-1,2-2,0-2,1-1,2-0,1-1,0-4,0-2,0-4
2017,21,OKC,Oklahoma City Thunder,1-1,2-0,2-0,1-1,0-2,1-1,2-1,3-1,1-1,0-4,1-3,0-2,2-2,2-1,3-1,2-0,1-1,3-1,4-0,2-0,,1-1,2-0,2-2,1-3,2-1,1-2,1-1,3-1,1-1
2017,22,ORL,Orlando Magic,2-2,0-3,2-1,1-3,0-4,0-3,1-1,0-2,3-1,0-2,0-2,0-4,0-2,1-1,1-1,3-1,1-2,0-2,1-1,1-3,1-1,,3-1,1-1,1-1,1-1,1-1,2-2,0-2,2-2
2017,23,PHI,Philadelphia 76Ers,0-4,1-3,3-1,1-3,2-1,0-3,1-1,1-1,1-2,0-2,0-2,1-3,1-1,1-1,0-2,2-2,2-2,1-1,1-1,2-2,0-2,1-3,,1-1,1-1,1-1,0-2,1-3,0-2,2-1
2017,24,PHO,Phoenix Suns,1-1,1-1,0-2,1-1,1-1,0-2,3-1,0-4,1-1,0-4,0-4,1-1,0-4,2-2,0-3,1-1,0-2,0-3,1-3,2-0,2-2,1-1,1-1,,1-3,1-3,1-2,2-0,0-3,0-2
2017,25,POR,Portland Trail Blazers,1-1,1-1,2-0,1-1,1-1,1-1,2-2,3-1,0-2,0-4,1-2,1-1,0-3,4-0,2-1,2-0,0-2,3-1,1-3,1-1,3-1,1-1,1-1,3-1,,2-1,2-2,0-2,2-2,0-2
2017,26,SAC,Sacramento Kings,1-1,1-1,1-1,0-2,1-1,1-1,2-1,2-2,2-0,1-3,0-4,0-2,1-3,2-2,2-2,0-2,0-2,3-1,2-1,0-2,1-2,1-1,1-1,3-1,1-2,,0-4,2-0,1-3,0-2
2017,27,SAS,San Antonio Spurs,1-1,2-0,2-0,1-1,2-0,2-0,3-1,3-0,2-0,2-1,3-1,2-0,1-3,3-1,2-2,2-0,1-1,4-0,3-1,1-1,2-1,1-1,2-0,2-1,2-2,4-0,,2-0,2-2,2-0
2017,28,TOR,Toronto Raptors,1-2,3-1,4-0,1-2,2-2,1-3,2-0,2-0,3-1,0-2,1-1,2-1,1-1,2-0,1-1,3-1,3-1,1-1,2-0,4-0,1-1,2-2,3-1,0-2,2-0,0-2,0-2,,2-0,2-1
2017,29,UTA,Utah Jazz,2-0,0-2,2-0,0-2,1-1,1-1,3-1,2-2,2-0,1-2,2-1,1-1,1-3,4-0,1-3,1-1,2-0,3-1,3-0,2-0,1-3,2-0,2-0,3-0,2-2,3-1,2-2,0-2,,2-0
2017,30,WAS,Washington Wizards,3-1,2-2,4-0,3-1,3-1,1-2,0-2,2-0,2-1,1-1,0-2,3-1,1-1,2-0,1-1,0-4,3-1,1-1,2-0,4-0,1-1,2-2,1-2,2-0,2-0,2-0,0-2,1-2,0-2,
