Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1993,18,MIN,Minnesota Timberwolves,0-2,0-2,0-2,0-2,0-2,4-1,2-3,1-1,1-3,2-4,1-1,0-4,1-3,0-2,1-1,,1-1,0-2,0-2,0-2,0-4,1-3,1-3,1-4,0-4,1-4,1-1
1993,3,NJN,New Jersey Nets,3-1,0-4,2-2,0-4,2-2,2-0,1-1,1-3,1-1,1-1,1-3,2-0,2-0,3-2,4-0,1-1,,1-3,3-2,3-2,1-1,0-2,2-0,1-1,1-1,1-1,4-1
1993,20,NYK,New York Knicks,2-2,4-1,3-1,3-1,3-1,2-0,1-1,2-2,2-0,1-1,3-1,0-2,2-0,5-0,3-1,2-0,3-1,,2-2,5-0,1-1,1-1,2-0,2-0,1-1,1-1,4-1
1993,22,ORL,Orlando Magic,3-1,2-3,1-3,1-3,2-2,1-1,2-0,1-3,1-1,1-1,2-2,1-1,1-1,2-3,2-2,2-0,2-3,2-2,,3-2,0-2,2-0,2-0,0-2,0-2,1-1,4-0
1993,23,PHI,Philadelphia 76Ers,1-3,1-4,0-4,2-2,0-4,1-1,1-1,1-3,1-1,0-2,1-3,1-1,0-2,3-1,2-2,2-0,2-3,0-5,2-3,,0-2,0-2,1-1,0-2,1-1,0-2,3-1
1993,24,PHO,Phoenix Suns,2-0,2-0,2-0,1-1,0-2,4-0,3-1,2-0,4-1,2-2,1-1,2-3,5-0,2-0,2-0,4-0,1-1,1-1,2-0,2-0,,3-2,5-0,3-1,2-3,3-1,2-0
1993,25,POR,Portland Trail Blazers,1-1,0-2,1-1,0-2,2-0,4-0,3-1,1-1,5-0,3-1,1-1,3-2,2-3,1-1,2-0,3-1,2-0,1-1,0-2,2-0,2-3,,5-0,2-2,2-3,2-2,1-1
1993,26,SAC,Sacramento Kings,1-1,1-1,0-2,0-2,1-1,4-0,1-3,0-2,1-4,0-4,0-2,2-3,2-3,1-1,1-1,3-1,0-2,0-2,0-2,1-1,0-5,0-5,,2-2,1-4,2-2,1-1
1993,27,SAS,San Antonio Spurs,0-2,1-1,1-1,2-0,1-1,5-0,4-1,2-0,1-3,1-4,1-1,4-0,2-2,1-1,2-0,4-1,1-1,0-2,2-0,2-0,1-3,2-2,2-2,,3-1,3-3,1-1
1993,21,SEA,Seattle Supersonics,1-1,2-0,1-1,0-2,1-1,3-1,3-1,2-0,4-1,3-1,0-2,4-1,4-1,1-1,2-0,4-0,1-1,1-1,2-0,1-1,3-2,3-2,4-1,1-3,,2-2,2-0
1993,29,UTA,Utah Jazz,0-2,2-0,1-1,0-2,1-1,5-0,3-2,2-0,1-3,1-4,2-0,2-2,3-1,2-0,2-0,4-1,1-1,1-1,1-1,2-0,1-3,2-2,2-2,3-3,2-2,,1-1
1993,30,WAB,Washington Bullets,2-2,1-4,0-4,0-4,1-3,1-1,0-2,0-4,1-1,1-1,1-3,0-2,0-2,3-2,3-1,1-1,1-4,1-4,0-4,1-3,0-2,1-1,1-1,1-1,0-2,1-1,
