Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1992,12,IND,Indiana Pacers,4-1,2-2,2-3,1-3,0-5,1-1,2-0,2-2,0-2,1-1,,0-2,2-0,3-1,4-1,2-0,2-2,1-3,2-2,2-2,1-1,0-2,1-1,2-0,0-2,1-1,2-2
1992,13,LAC,Los Angeles Clippers,1-1,0-2,2-0,0-2,1-1,3-1,4-0,2-0,2-3,2-2,2-0,,2-3,2-0,2-0,4-0,1-1,0-2,2-0,1-1,3-2,2-3,2-3,2-2,2-3,1-3,0-2
1992,14,LAL,Los Angeles Lakers,2-0,0-2,1-1,1-1,0-2,4-0,3-1,0-2,2-3,2-2,0-2,3-2,,2-0,1-1,3-1,2-0,2-0,2-0,2-0,2-3,1-4,4-1,1-3,1-4,1-3,1-1
1992,16,MIA,Miami Heat,2-2,2-3,3-1,0-4,1-3,1-1,2-0,2-2,1-1,0-2,1-3,0-2,0-2,,4-0,2-0,2-2,1-4,3-1,1-4,0-2,0-2,2-0,1-1,1-1,1-1,5-0
1992,17,MIL,Milwaukee Bucks,1-3,2-2,3-2,2-3,1-3,1-1,1-1,2-3,0-2,1-1,1-4,0-2,1-1,0-4,,2-0,0-4,1-3,3-1,3-1,0-2,0-2,0-2,1-1,1-1,1-1,3-1
1992,18,MIN,Minnesota Timberwolves,0-2,2-0,1-1,0-2,0-2,2-3,3-2,1-1,0-4,2-3,0-2,0-4,1-3,0-2,0-2,,0-2,0-2,0-2,0-2,0-4,0-4,1-3,0-6,0-4,2-3,0-2
1992,3,NJN,New Jersey Nets,1-3,3-2,3-1,0-4,2-2,2-0,1-1,2-2,0-2,1-1,2-2,1-1,0-2,2-2,4-0,2-0,,2-3,3-1,3-2,1-1,1-1,1-1,1-1,0-2,0-2,2-3
1992,20,NYK,New York Knicks,2-2,2-3,4-0,0-4,0-4,2-0,2-0,2-2,1-1,1-1,3-1,2-0,0-2,4-1,3-1,2-0,3-2,,4-1,3-1,1-1,1-1,1-1,0-2,2-0,2-0,4-0
1992,22,ORL,Orlando Magic,2-2,0-5,1-3,1-3,1-3,1-1,0-2,0-4,0-2,0-2,2-2,0-2,0-2,1-3,1-3,2-0,1-3,1-4,,3-2,0-2,0-2,0-2,1-1,1-1,0-2,2-3
1992,23,PHI,Philadelphia 76Ers,2-2,1-3,1-3,1-3,0-4,2-0,0-2,1-3,1-1,1-1,2-2,1-1,0-2,4-1,1-3,2-0,2-3,1-3,2-3,,0-2,1-1,1-1,1-1,2-0,0-2,5-0
1992,24,PHO,Phoenix Suns,0-2,1-1,1-1,1-1,1-1,2-2,3-1,2-0,2-3,3-1,1-1,2-3,3-2,2-0,2-0,4-0,1-1,1-1,2-0,2-0,,3-2,4-1,3-1,3-2,2-2,2-0
1992,25,POR,Portland Trail Blazers,2-0,1-1,2-0,0-2,2-0,4-0,3-1,0-2,3-2,1-3,2-0,3-2,4-1,2-0,2-0,4-0,1-1,1-1,2-0,1-1,2-3,,5-0,2-2,4-1,2-2,2-0
1992,26,SAC,Sacramento Kings,1-1,0-2,1-1,0-2,0-2,3-1,2-2,0-2,0-5,1-3,1-1,3-2,1-4,0-2,2-0,3-1,1-1,1-1,2-0,1-1,1-4,0-5,,1-3,1-4,1-3,2-0
1992,27,SAS,San Antonio Spurs,2-0,1-1,0-2,1-1,1-1,5-0,4-1,1-1,2-2,2-3,0-2,2-2,3-1,1-1,1-1,6-0,1-1,2-0,1-1,1-1,1-3,2-2,3-1,,3-1,1-4,0-2
1992,21,SEA,Seattle Supersonics,1-1,0-2,1-1,0-2,1-1,4-0,3-1,1-1,2-3,3-1,2-0,3-2,4-1,1-1,1-1,4-0,2-0,0-2,1-1,0-2,2-3,1-4,4-1,1-3,,3-1,2-0
1992,29,UTA,Utah Jazz,1-1,1-1,2-0,1-1,1-1,4-1,5-1,1-1,3-1,4-1,1-1,3-1,3-1,1-1,1-1,3-2,2-0,0-2,2-0,2-0,2-2,2-2,3-1,4-1,1-3,,2-0
1992,30,WAB,Washington Bullets,2-2,1-3,2-2,0-4,0-4,2-0,1-1,1-3,0-2,0-2,2-2,2-0,1-1,0-5,1-3,2-0,3-2,0-4,3-2,0-5,0-2,0-2,0-2,2-0,0-2,0-2,
