Season,Team ID,Team ABV,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,UTA,WSB
1990,12,IND,Indiana Pacers,3-2,3-1,1-1,3-2,2-3,0-2,2-0,1-4,1-1,1-1,,0-2,0-2,3-1,3-2,1-1,4-0,1-3,4-1,0-4,1-1,1-1,1-1,1-1,1-1,1-1,3-1
1990,13,LAC,Los Angeles Clippers,1-1,1-1,2-2,1-1,1-1,1-3,2-2,1-1,1-3,2-2,2-0,,1-4,0-2,1-1,3-1,2-0,0-2,2-0,0-2,0-4,0-5,2-3,0-4,3-2,0-4,1-1
1990,14,LAL,Los Angeles Lakers,2-0,2-0,4-0,1-1,1-1,4-0,4-0,1-1,4-1,2-2,2-0,4-1,,2-0,1-1,4-0,2-0,2-0,1-1,1-1,3-1,2-3,5-0,2-2,4-0,2-2,1-1
1990,16,MIA,Miami Heat,0-4,0-5,1-1,0-4,0-4,0-2,0-2,1-3,0-2,1-1,1-3,2-0,0-2,,2-2,1-1,1-4,1-5,3-1,0-5,0-2,0-2,1-1,0-2,0-2,1-1,2-3
1990,17,MIL,Milwaukee Bucks,2-3,2-2,2-0,1-4,2-3,1-1,1-1,2-3,1-1,1-1,2-3,1-1,1-1,2-2,,2-0,4-0,2-2,5-0,1-3,1-1,1-1,1-1,1-1,2-0,0-2,3-1
1990,18,MIN,Minnesota Timberwolves,1-1,1-1,2-2,0-2,1-1,1-4,0-5,0-2,1-3,2-2,1-1,1-3,0-4,1-1,0-2,,1-1,1-1,1-1,1-1,0-4,1-3,2-2,1-4,1-3,0-5,1-1
1990,3,NJN,New Jersey Nets,2-2,1-5,1-1,1-3,0-4,0-2,0-2,0-4,0-2,1-1,0-4,0-2,0-2,4-1,0-4,1-1,,1-4,1-3,1-4,0-2,0-2,1-1,0-2,0-2,0-2,2-3
1990,20,NYK,New York Knicks,3-1,1-4,1-1,1-3,2-2,1-1,1-1,0-4,2-0,1-1,3-1,2-0,0-2,5-1,2-2,1-1,4-1,,2-2,2-3,1-1,0-2,2-0,1-1,1-1,1-1,5-0
1990,22,ORL,Orlando Magic,0-5,0-4,1-1,2-3,1-4,0-2,0-2,0-5,0-2,0-2,1-4,0-2,1-1,1-3,0-5,1-1,3-1,2-2,,2-2,0-2,0-2,1-1,1-1,0-2,1-1,0-4
1990,23,PHI,Philadelphia 76Ers,2-2,2-3,2-0,2-2,2-2,1-1,1-1,3-1,1-1,1-1,4-0,2-0,1-1,5-0,3-1,1-1,4-1,3-2,2-2,,1-1,1-1,1-1,1-1,1-1,1-1,5-1
1990,24,PHO,Phoenix Suns,2-0,1-1,3-1,0-2,1-1,3-1,3-1,0-2,5-0,2-2,1-1,4-0,1-3,2-0,1-1,4-0,2-0,1-1,2-0,1-1,,2-3,5-0,0-4,3-2,3-1,2-0
1990,25,POR,Portland Trail Blazers,1-1,2-0,4-0,1-1,1-1,4-0,2-2,1-1,2-2,3-1,1-1,5-0,3-2,2-0,1-1,3-1,2-0,2-0,2-0,1-1,3-2,,4-0,3-1,3-2,2-2,1-1
1990,26,SAC,Sacramento Kings,1-1,0-2,3-1,1-1,0-2,1-3,0-4,0-2,2-3,0-4,1-1,3-2,0-5,1-1,1-1,2-2,1-1,0-2,1-1,1-1,0-5,0-4,,0-4,2-2,1-3,1-1
1990,27,SAS,San Antonio Spurs,1-1,1-1,5-0,1-1,1-1,2-3,3-1,1-1,3-1,2-2,1-1,4-0,2-2,2-0,1-1,4-1,2-0,1-1,1-1,1-1,4-0,1-3,4-0,,3-1,3-2,2-0
1990,21,SEA,Seattle Supersonics,1-1,0-2,4-0,1-1,1-1,2-2,2-2,1-1,3-2,2-2,1-1,2-3,0-4,2-0,0-2,3-1,2-0,1-1,2-0,1-1,2-3,2-3,2-2,1-3,,1-3,2-0
1990,29,UTA,Utah Jazz,1-1,1-1,5-0,2-0,1-1,3-1,4-0,1-1,2-2,2-3,1-1,4-0,2-2,1-1,2-0,5-0,2-0,1-1,1-1,1-1,1-3,2-2,3-1,2-3,3-1,,2-0
1990,30,WAB,Washington Bullets,2-2,3-2,2-0,1-3,1-3,1-1,1-1,0-4,1-1,1-1,1-3,1-1,1-1,3-2,1-3,1-1,3-2,0-5,4-0,1-5,0-2,1-1,1-1,0-2,0-2,0-2,
