Season,Team ID,Team ABV,Team,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2012,12,IND,Indiana Pacers,1-2,2-2,3-0,1-2,3-1,1-0,0-1,2-1,2-0,1-0,,1-0,1-0,0-1,1-3,3-0,2-0,3-1,2-0,1-2,1-0,1-3,2-2,0-1,1-0,0-1,0-1,3-0,1-0,3-0
2012,13,LAC,Los Angeles Clippers,1-1,0-1,1-0,0-1,0-1,2-1,3-1,1-0,2-2,3-0,0-1,,1-2,2-1,1-0,1-0,1-3,1-1,2-1,0-1,3-1,1-0,1-0,1-3,3-1,3-0,1-2,1-0,2-1,2-0
2012,14,LAL,Los Angeles Lakers,1-0,2-0,1-0,0-1,1-0,4-0,3-1,0-1,4-0,1-2,0-1,2-1,,2-1,1-1,0-1,4-0,1-0,3-0,1-1,1-2,0-1,0-1,2-2,2-1,1-2,1-2,1-0,2-2,0-1
2012,15,MEM,Memphis Grizzlies,1-0,0-1,1-0,1-1,1-0,2-1,3-0,2-0,4-0,2-2,1-0,1-2,1-2,,1-0,1-0,4-0,1-0,3-1,1-0,1-3,1-0,1-0,1-2,1-2,2-1,0-4,1-1,1-2,1-0
2012,16,MIA,Miami Heat,3-1,1-3,3-0,2-2,3-0,2-0,0-1,3-0,0-1,1-0,3-1,0-1,1-1,0-1,,1-2,1-0,3-0,1-0,3-0,1-1,2-2,4-0,1-0,1-0,1-0,1-0,3-0,0-1,1-2
2012,17,MIL,Milwaukee Bucks,1-2,0-3,2-1,0-4,4-0,0-1,0-2,3-1,1-0,1-0,0-3,0-1,1-0,0-1,2-1,,1-0,3-0,0-1,2-2,0-1,0-4,1-2,0-2,2-0,0-1,1-0,3-0,0-1,3-1
2012,18,MIN,Minnesota Timberwolves,0-1,0-1,2-0,0-1,0-1,2-1,1-3,2-0,1-2,3-1,0-2,3-1,0-4,0-4,0-1,0-1,,1-0,1-2,0-1,0-3,0-1,1-0,1-2,2-1,2-2,2-1,0-1,1-2,1-0
2012,3,NJN,New Jersey Nets,0-4,0-3,4-0,1-2,2-2,1-0,0-1,1-2,2-0,0-1,1-3,1-1,0-1,0-1,0-3,0-3,0-1,,0-1,1-2,0-1,0-3,2-2,1-0,0-1,1-0,0-1,2-2,0-2,2-1
2012,19,NOH,New Orleans Hornets,0-1,1-0,1-1,0-2,1-0,1-2,2-2,0-1,2-1,1-2,0-2,1-2,0-3,1-3,0-1,1-0,2-1,1-0,,1-0,0-3,1-0,0-1,1-3,0-4,1-3,0-4,0-1,2-1,0-1
2012,20,NYK,New York Knicks,2-1,2-2,3-1,1-3,2-2,1-1,0-1,3-0,0-1,0-1,2-1,1-0,1-1,0-1,0-3,2-2,1-0,2-1,0-1,,0-1,2-1,2-1,0-1,1-0,2-0,0-1,2-2,1-0,3-0
2012,21,OKC,Oklahoma City Thunder,0-1,2-0,1-0,1-0,0-1,3-1,2-1,1-0,3-0,2-2,0-1,1-3,2-1,3-1,1-1,1-0,3-0,1-0,3-0,1-0,,2-0,1-0,3-0,3-1,3-1,1-2,1-0,2-1,0-1
2012,22,ORL,Orlando Magic,0-3,0-3,3-1,1-2,3-0,0-1,0-2,1-2,1-0,1-0,3-1,0-1,1-0,0-1,2-2,4-0,1-0,3-0,0-1,1-2,0-2,,3-1,1-0,1-0,1-0,0-2,3-0,0-1,3-1
2012,23,PHI,Philadelphia 76Ers,3-0,2-1,3-0,1-2,3-0,0-1,0-1,3-1,2-0,0-1,2-2,0-1,1-0,0-1,0-4,2-1,0-1,2-2,1-0,1-2,0-1,1-3,,1-0,0-1,1-0,0-2,2-1,1-1,3-1
2012,24,PHO,Phoenix Suns,1-1,1-0,1-0,0-1,1-1,1-3,0-3,1-0,1-2,2-2,1-0,3-1,2-2,2-1,0-1,2-0,2-1,0-1,3-1,1-0,0-3,0-1,0-1,,2-1,3-0,0-4,0-1,2-1,1-0
2012,25,POR,Portland Trail Blazers,1-1,0-1,1-0,1-0,1-0,1-2,2-1,0-1,3-1,0-3,0-1,1-3,1-2,2-1,0-1,0-2,1-2,1-0,4-0,0-1,1-3,0-1,1-0,1-2,,2-2,1-2,1-0,0-4,1-1
2012,26,SAC,Sacramento Kings,0-1,1-0,1-0,0-2,0-1,1-2,0-3,0-2,1-3,0-3,1-0,0-3,2-1,1-2,0-1,1-0,2-2,0-1,3-1,0-2,1-3,0-1,0-1,0-3,2-2,,1-2,1-0,2-2,1-0
2012,27,SAS,San Antonio Spurs,1-0,1-0,1-0,0-1,2-0,2-2,2-1,1-0,3-0,2-2,1-0,2-1,2-1,4-0,0-1,0-1,1-2,1-0,4-0,1-0,2-1,2-0,2-0,4-0,2-1,2-1,,1-0,3-1,1-0
2012,28,TOR,Toronto Raptors,1-3,2-2,1-2,0-3,3-1,0-1,1-1,1-2,1-0,1-1,0-3,0-1,0-1,1-1,0-3,0-3,1-0,2-2,1-0,2-2,0-1,0-3,1-2,1-0,0-1,0-1,0-1,,1-0,2-2
2012,29,UTA,Utah Jazz,0-1,0-1,1-0,0-1,2-0,1-3,2-1,1-0,3-1,2-1,0-1,1-2,2-2,2-1,1-0,1-0,2-1,2-0,1-2,0-1,1-2,1-0,1-1,1-2,4-0,2-2,1-3,0-1,,1-0
2012,30,WAS,Washington Wizards,0-3,0-4,4-0,1-2,2-1,0-1,0-1,1-2,0-1,0-2,0-3,0-2,1-0,0-1,2-1,1-3,0-1,1-2,1-0,0-3,1-0,1-3,1-3,0-1,1-1,0-1,0-1,2-2,0-1,
