TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
UTA,26.9,41.0,41.0,41,41,-0.11,-0.22,-0.33,103.3,103.4,-0.1,105.1,0.33,0.04,0.53,0.48,0.47,15.8,15.7,29.0,0.26,0.24,0.48,0.47,15.8,15.7,65.3,0.26,0.24,Salt Palace,371829,
CHI,25.2,38.0,44.0,39,43,-0.84,0.34,-0.5,108.7,109.6,-0.9,99.4,0.37,0.02,0.56,0.5,0.5,15.4,13.8,32.2,0.29,0.26,0.5,0.5,15.4,13.8,67.5,0.29,0.26,Chicago Stadium,487297,
ALT,25.5,34.0,48.0,37,45,-1.45,0.31,-1.14,105.9,107.3,-1.4,99.8,0.33,0.03,0.54,0.49,0.48,15.3,15.2,32.5,0.25,0.25,0.49,0.48,15.3,15.2,63.8,0.25,0.25,Omni Coliseum,290746,
CLE,26.6,36.0,46.0,34,48,-2.76,0.48,-2.27,106.0,108.7,-2.7,101.9,0.34,0.04,0.53,0.48,0.48,14.1,13.7,32.9,0.25,0.26,0.48,0.48,14.1,13.7,66.9,0.25,0.26,Coliseum at Richfield,324004,7618.0
PHO,26.4,36.0,46.0,35,47,-2.11,-0.23,-2.34,104.7,106.8,-2.1,102.5,0.32,0.04,0.54,0.5,0.5,16.3,15.0,29.8,0.25,0.24,0.5,0.5,16.3,15.0,68.3,0.25,0.24,Arizona Veterans Memorial Coliseum,478788,
KCK,26.1,31.0,51.0,34,48,-2.67,-0.04,-2.71,109.5,112.1,-2.6,104.4,0.36,0.03,0.56,0.51,0.51,15.9,14.2,34.0,0.28,0.26,0.51,0.51,15.9,14.2,66.6,0.28,0.26,Kemper Arena,262813,
NYK,25.8,24.0,58.0,29,53,-4.63,0.54,-4.09,104.9,109.6,-4.7,99.5,0.33,0.03,0.53,0.49,0.5,15.2,16.5,31.7,0.24,0.34,0.49,0.5,15.2,16.5,63.3,0.24,0.34,Madison Square Garden (IV),457137,
LAC,27.3,31.0,51.0,30,52,-4.49,-0.07,-4.55,105.8,110.3,-4.5,100.9,0.31,0.03,0.54,0.5,0.5,16.4,12.7,33.8,0.24,0.21,0.5,0.5,16.4,12.7,66.1,0.24,0.21,Los Angeles Memorial Sports Arena,384519,
SEA,26.4,31.0,51.0,27,55,-5.44,0.0,-5.44,102.8,108.2,-5.4,99.3,0.33,0.03,0.53,0.48,0.5,15.9,14.6,30.0,0.26,0.24,0.48,0.5,15.9,14.6,67.3,0.26,0.24,King County Domed Stadium,303344,
IND,24.1,22.0,60.0,26,56,-6.21,0.75,-5.46,102.5,108.4,-5.9,105.1,0.34,0.02,0.53,0.48,0.5,16.1,14.3,31.7,0.26,0.28,0.48,0.5,16.1,14.3,70.5,0.26,0.28,Market Square Arena,438377,
GSW,26.1,22.0,60.0,24,58,-7.34,0.13,-7.21,106.0,113.0,-7.0,103.2,0.34,0.05,0.52,0.47,0.54,14.4,16.1,34.5,0.26,0.27,0.47,0.54,14.4,16.1,66.0,0.26,0.27,Oakland-Alameda County Coliseum Arena,300586,
