TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
CLE,26.7,22.0,28.0,22,28,-1.72,0.78,-0.94,99.6,101.6,-2.0,86.4,0.38,0.15,0.52,0.46,0.47,15.9,16.2,25.1,0.28,0.27,0.46,0.47,15.9,16.2,69.0,0.28,0.27,Gund Arena,352992,
TOR,27.3,23.0,27.0,22,28,-1.64,0.33,-1.32,102.0,103.9,-1.9,88.8,0.34,0.17,0.5,0.45,0.47,15.0,14.8,33.8,0.26,0.26,0.45,0.47,15.0,14.8,70.2,0.26,0.26,Air Canada Centre,439190,
SEA,31.2,25.0,25.0,23,27,-1.08,-0.35,-1.43,105.0,106.2,-1.2,89.6,0.34,0.23,0.52,0.48,0.49,14.3,14.1,31.9,0.23,0.21,0.48,0.49,14.3,14.1,68.6,0.23,0.21,KeyArena at Seattle Center,426800,
BOS,24.3,19.0,31.0,22,28,-1.86,0.11,-1.75,100.4,102.4,-2.0,91.5,0.26,0.18,0.5,0.47,0.46,14.8,15.6,30.6,0.18,0.29,0.47,0.46,14.8,15.6,69.4,0.18,0.29,FleetCenter,440602,
WAS,29.3,18.0,32.0,21,29,-2.24,0.49,-1.75,101.2,103.7,-2.5,89.8,0.3,0.15,0.51,0.47,0.47,14.1,15.1,28.2,0.21,0.27,0.47,0.47,14.1,15.1,69.5,0.21,0.27,MCI Center,402481,
DAL,26.1,19.0,31.0,21,29,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89.0,0.3,0.15,0.5,0.46,0.48,13.2,13.3,29.8,0.22,0.21,0.46,0.48,13.2,13.3,69.1,0.22,0.21,Reunion Arena,362837,
GSW,28.1,21.0,29.0,20,30,-2.5,-0.13,-2.63,98.4,101.1,-2.7,88.9,0.28,0.14,0.47,0.43,0.44,14.1,14.0,35.2,0.19,0.29,0.43,0.44,14.1,14.0,70.4,0.19,0.29,The Arena in Oakland,335837,
NJN,26.0,16.0,34.0,18,32,-3.78,0.58,-3.2,99.5,103.6,-4.1,91.5,0.3,0.16,0.48,0.43,0.48,13.7,15.2,31.1,0.23,0.24,0.43,0.48,13.7,15.2,69.7,0.23,0.24,Continental Airlines Arena,400387,
DEN,24.6,14.0,36.0,14,36,-6.6,-0.07,-6.67,103.1,110.4,-7.3,90.5,0.33,0.23,0.51,0.46,0.5,13.9,13.2,30.1,0.25,0.25,0.46,0.5,13.9,13.2,69.2,0.25,0.25,McNichols Sports Arena,296965,
CHI,28.6,13.0,37.0,9,41,-9.46,0.88,-8.58,92.4,103.0,-10.6,88.1,0.31,0.16,0.47,0.42,0.48,15.1,15.3,26.8,0.22,0.24,0.42,0.48,15.1,15.3,71.7,0.22,0.24,United Center,560012,
LAC,25.0,9.0,41.0,11,39,-8.82,-0.12,-8.94,100.0,109.7,-9.7,89.5,0.31,0.17,0.5,0.45,0.5,14.9,14.8,30.6,0.22,0.28,0.45,0.5,14.9,14.8,66.9,0.22,0.28,Los Angeles Memorial Sports Arena,256568,
VAN,25.0,8.0,42.0,11,39,-8.66,-0.28,-8.94,98.4,107.9,-9.5,89.0,0.37,0.12,0.5,0.45,0.49,16.0,14.7,30.9,0.26,0.26,0.45,0.49,16.0,14.7,66.9,0.26,0.26,General Motors Place,417966,
