PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Jared Harper,2020,2021,G,5-11,175,"September 14, 1997",Auburn
Justin Harper,2012,2017,F,6-10,225,"August 30, 1989",Richmond
Mike Harper,1981,1982,C-F,6-10,195,"December 9, 1957",North Park University
Ron Harper,1987,2001,G-F,6-6,185,"January 20, 1964",Miami University
Matt Harpring,1999,2009,F,6-7,231,"May 31, 1976",Georgia Tech
Montrezl Harrell,2016,2021,F-C,6-7,240,"January 26, 1994",Louisville
Josh Harrellson,2012,2014,C,6-10,275,"February 12, 1989",Kentucky
Adam Harrington,2003,2003,G,6-5,200,"July 5, 1980","NC State, Auburn"
Al Harrington,1999,2014,F,6-9,230,"February 17, 1980",
Junior Harrington,2003,2007,G,6-4,180,"October 2, 1980",Wingate University
Othella Harrington,1997,2008,F-C,6-9,235,"January 31, 1974",Georgetown
Devin Harris,2005,2019,G,6-3,185,"February 27, 1983",Wisconsin
Elias Harris,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga
Gary Harris,2015,2021,G,6-4,210,"September 14, 1994",Michigan State
Joe Harris,2015,2021,G,6-6,220,"September 6, 1991",Virginia
Lucious Harris,1994,2005,G,6-5,190,"December 18, 1970",Cal State Long Beach
Manny Harris,2011,2017,G,6-5,185,"September 21, 1989",Michigan
Mike Harris,2008,2014,F,6-6,240,"June 15, 1983",Rice University
Steve Harris,1986,1990,G,6-5,195,"October 15, 1963",Tulsa
Terrel Harris,2012,2013,G,6-5,190,"August 10, 1987",Oklahoma State
Tobias Harris,2012,2021,F,6-8,226,"July 15, 1992",Tennessee
Tony Harris,1991,1995,G,6-3,190,"May 13, 1967","Lamar, New Orleans"
Aaron Harrison,2016,2018,G,6-6,210,"October 28, 1994",Kentucky
Andrew Harrison,2017,2019,G,6-6,213,"October 28, 1994",Kentucky
David Harrison,2005,2008,C,7-0,280,"August 15, 1982",Colorado
Shaquille Harrison,2018,2021,G,6-7,190,"October 6, 1993",Tulsa
Jason Hart,2001,2010,G,6-3,185,"April 29, 1978",Syracuse
Josh Hart,2018,2021,G,6-5,215,"March 6, 1995",Villanova
Isaiah Hartenstein,2019,2021,F,7-0,249,"May 5, 1998",
Antonio Harvey,1994,2003,F-C,6-11,225,"July 6, 1970","Southern Illinois, Georgia, Pfeiffer University"
Donnell Harvey,2001,2005,F,6-8,220,"August 26, 1980",Florida
Scott Haskin,1994,1994,C-F,6-11,250,"September 19, 1970",Oregon State
Udonis Haslem,2004,2020,F-C,6-8,235,"June 9, 1980",Florida
Trenton Hassell,2002,2010,G,6-5,200,"March 4, 1979",Austin Peay State University
Joe Hassett,1978,1983,G,6-5,180,"September 11, 1955",Providence
Scott Hastings,1983,1993,F-C,6-10,235,"June 3, 1960",Arkansas
Kirk Haston,2002,2003,F,6-9,242,"March 10, 1979",Indiana
Spencer Hawes,2008,2017,C-F,7-1,245,"April 28, 1988",Washington
Steve Hawes,1975,1984,C-F,6-9,220,"May 26, 1950",Washington
Hersey Hawkins,1989,2001,G,6-3,190,"September 29, 1966",Bradley
Juaquin Hawkins,2003,2003,G-F,6-7,220,"July 2, 1973",Cal State Long Beach
Michael Hawkins,1997,2001,G,6-0,178,"October 28, 1972",Xavier
Chuck Hayes,2006,2016,F-C,6-6,240,"June 11, 1983",Kentucky
Elvin Hayes,1969,1984,F-C,6-9,235,"November 17, 1945",Houston
Jarvis Hayes,2004,2010,F,6-7,220,"August 9, 1981","Western Carolina University, Georgia"
Jaxson Hayes,2020,2021,F,6-11,220,"May 23, 2000",Texas
Killian Hayes,2021,2021,G,6-5,216,"July 27, 2001",
Nigel Hayes,2018,2018,F,6-8,254,"December 16, 1994",Wisconsin
Steve Hayes,1982,1986,C,7-0,205,"August 2, 1955",Idaho State University
Gordon Hayward,2011,2021,F-G,6-7,225,"March 23, 1990",Butler
Lazar Hayward,2011,2013,F,6-6,225,"November 26, 1986",Marquette
Brendan Haywood,2002,2015,C,7-0,268,"November 27, 1979",UNC
Spencer Haywood,1970,1983,F-C,6-8,225,"April 22, 1949",Detroit Mercy
Luther Head,2006,2011,G,6-3,185,"November 26, 1982",Illinois
Shane Heal,1997,2004,G,6-0,180,"September 6, 1970",
Gar Heard,1971,1981,F,6-6,219,"May 3, 1948",Oklahoma
Reggie Hearn,2018,2018,G,6-5,210,"August 14, 1991",Northwestern
Alvin Heggs,1996,1996,F,6-8,225,"December 12, 1967",Texas
Alan Henderson,1996,2007,F,6-9,235,"December 2, 1972",Indiana
Cedric Henderson,1987,1987,F,6-8,210,"October 3, 1965",Georgia
Cedric Henderson,1998,2002,F,6-7,215,"March 11, 1975",Memphis
Dave Henderson,1988,1988,G,6-5,195,"July 21, 1964",Duke
Gerald Henderson,1980,1992,G,6-2,175,"January 16, 1956",VCU
Gerald Henderson,2010,2017,G,6-5,215,"December 9, 1987",Duke
J.R. Henderson,1999,1999,F,6-8,226,"October 30, 1976",UCLA
Jerome Henderson,1986,1987,C-F,6-11,230,"October 5, 1959",New Mexico
Kevin Henderson,1987,1988,G,6-4,195,"March 22, 1964",Cal State Fullerton
Tom Henderson,1975,1983,G,6-3,190,"January 26, 1952",Hawaii
Mark Hendrickson,1997,2000,F,6-9,220,"June 23, 1974",Washington State
Carl Henry,1986,1986,G,6-6,205,"August 16, 1960","Oklahoma City University, Kansas"
Conner Henry,1987,1988,G,6-7,195,"July 21, 1963",UC Santa Barbara
Myke Henry,2018,2018,F,6-6,210,"December 23, 1992",DePaul
Skeeter Henry,1994,1994,G,6-7,190,"December 8, 1967","Midland College, Oklahoma"
Xavier Henry,2011,2015,G,6-6,220,"March 15, 1991",Kansas
John Henson,2013,2020,C-F,6-9,219,"December 28, 1990",UNC
Steve Henson,1991,1999,G,5-11,177,"February 2, 1968",Kansas State
Dewan Hernandez,2020,2020,F,6-10,235,"December 9, 1996",Miami (FL)
Juan Hernangomez,2017,2021,F,6-9,214,"September 28, 1995",
Willy Hernangomez,2017,2021,C,6-11,250,"May 27, 1994",
Chris Herren,2000,2001,G,6-2,197,"September 27, 1975","Boston College, Fresno State"
Carl Herrera,1992,1999,F,6-9,215,"December 14, 1966","Jacksonville University, Houston"
Walter Herrmann,2007,2009,F,6-9,225,"June 26, 1979",
Tyler Herro,2020,2021,G,6-5,195,"January 20, 2000",Kentucky
Keith Herron,1979,1982,G-F,6-6,195,"June 14, 1956",Villanova
Kevin Hervey,2020,2020,F,6-9,230,"July 9, 1996",UT Arlington
Mario Hezonja,2016,2020,F-G,6-8,220,"February 25, 1995",
Roy Hibbert,2009,2017,C,7-2,270,"December 11, 1986",Georgetown
Isaiah Hicks,2018,2019,F,6-9,230,"July 24, 1994",UNC
J.J. Hickson,2009,2016,F-C,6-9,242,"September 4, 1988",NC State
Buddy Hield,2017,2021,G,6-4,220,"December 17, 1992",Oklahoma
Cory Higgins,2012,2013,G,6-5,180,"June 14, 1989",Colorado
Mike Higgins,1990,1991,F,6-9,220,"February 17, 1967",University of Northern Colorado
Rod Higgins,1983,1995,F,6-7,200,"January 31, 1960",Fresno State
Sean Higgins,1991,1998,G-F,6-9,205,"December 30, 1968",Michigan
Kenny Higgs,1979,1982,G,6-0,180,"January 31, 1955",LSU
Johnny High,1980,1984,G,6-3,185,"April 25, 1957",Nevada
Haywood Highsmith,2019,2019,F,6-7,220,"December 9, 1996",Wheeling Jesuit
Nene Hilario,2003,2019,F-C,6-11,250,"September 13, 1982",
Armond Hill,1977,1984,G,6-4,190,"March 31, 1953",Princeton
George Hill,2009,2021,G,6-3,188,"May 4, 1986",IUPUI
Grant Hill,1995,2013,F-G,6-8,225,"October 5, 1972",Duke
Jordan Hill,2010,2017,C-F,6-10,235,"July 27, 1987",Arizona
Solomon Hill,2014,2021,F,6-6,226,"March 18, 1991",Arizona
Steven Hill,2009,2009,C,7-0,248,"November 14, 1985",Arkansas
Tyrone Hill,1991,2004,F,6-9,240,"March 19, 1968",Xavier
Darrun Hilliard,2016,2018,G,6-6,205,"April 13, 1993",Villanova
Darnell Hillman,1972,1980,F-C,6-9,215,"August 29, 1949",San Jose State
Kirk Hinrich,2004,2016,G,6-4,190,"January 2, 1981",Kansas
Roy Hinson,1984,1991,F-C,6-9,210,"May 2, 1961",Rutgers University
Nate Hinton,2021,2021,G,6-5,210,"June 8, 1999",Houston
Robert Hite,2007,2007,G,6-2,184,"January 12, 1984",Miami (FL)
Jaylen Hoard,2020,2020,F,6-8,216,"March 30, 1999",Wake Forest
Darington Hobson,2012,2012,G,6-7,210,"September 29, 1987",New Mexico
Donald Hodge,1992,1996,C,7-0,230,"February 25, 1969",Temple
Julius Hodge,2006,2007,G,6-7,210,"November 18, 1983",NC State
Craig Hodges,1983,1992,G,6-2,190,"June 27, 1960",Cal State Long Beach
Fred Hoiberg,1996,2005,G,6-4,203,"October 15, 1972",Iowa State
Randy Holcomb,2006,2006,F,6-9,225,"August 8, 1979","Fresno State, San Diego State"
Aaron Holiday,2019,2021,G,6-0,185,"September 30, 1996",UCLA
Jrue Holiday,2010,2021,G,6-3,205,"June 12, 1990",UCLA
Justin Holiday,2013,2021,F,6-6,180,"April 5, 1989",Washington
Brad Holland,1980,1982,G,6-3,180,"December 6, 1956",UCLA
John Holland,2018,2019,G-F,6-5,205,"November 6, 1988",Boston University
Lionel Hollins,1976,1985,G,6-3,185,"October 19, 1953",Arizona State
Ryan Hollins,2007,2016,C,7-0,240,"October 10, 1984",UCLA
Rondae Hollis-Jefferson,2016,2020,F,6-6,217,"January 3, 1995",Arizona
Richaun Holmes,2016,2021,F-C,6-10,235,"October 15, 1993",Bowling Green
Michael Holton,1985,1990,G,6-4,185,"August 4, 1961",UCLA
Jerald Honeycutt,1998,1999,F-G,6-9,245,"October 20, 1974",Tulane
Tyler Honeycutt,2012,2013,F,6-8,188,"July 15, 1990",UCLA
Derek Hood,2000,2000,F,6-8,222,"December 22, 1976",Arkansas
Rodney Hood,2015,2021,G-F,6-8,208,"October 20, 1992","Mississippi State, Duke"
Dave Hoppen,1988,1993,C-F,6-11,235,"March 13, 1964",Nebraska
Dennis Hopson,1988,1992,G-F,6-5,200,"April 22, 1965",Ohio State
Scotty Hopson,2014,2018,G,6-7,204,"August 8, 1989",Tennessee
Cedrick Hordges,1981,1982,F-C,6-8,220,"January 8, 1957","Auburn, South Carolina"
Al Horford,2008,2021,C-F,6-9,240,"June 3, 1986",Florida
Tito Horford,1989,1994,C,7-1,245,"January 19, 1966",Miami (FL)
Jeff Hornacek,1987,2000,G,6-3,190,"May 3, 1963",Iowa State
Dennis Horner,2012,2012,F,6-9,230,"February 5, 1988",NC State
Robert Horry,1993,2008,F,6-10,240,"August 25, 1970",Alabama
Ed Horton,1990,1990,F,6-8,230,"December 17, 1967",Iowa
Talen Horton-Tucker,2020,2021,G-F,6-4,234,"November 25, 2000",Iowa State
Danuel House,2017,2021,G,6-6,220,"June 7, 1993",Texas A&M
Eddie House,2001,2011,G,6-1,180,"May 14, 1978",Arizona State
Allan Houston,1994,2005,G,6-6,200,"April 20, 1971",Tennessee
Byron Houston,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State
Tom Hovasse,1995,1995,F,6-8,205,"January 31, 1967",Penn State
Brian Howard,1992,1993,F,6-6,204,"October 19, 1967",NC State
Dwight Howard,2005,2021,C,6-10,265,"December 8, 1985",
Josh Howard,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest
Juwan Howard,1995,2013,F,6-9,240,"February 7, 1973",Michigan
Markus Howard,2021,2021,G,5-11,180,"March 3, 1999",Marquette
Stephen Howard,1993,1998,F,6-9,225,"July 15, 1970",DePaul
William Howard,2020,2020,F,6-8,207,"October 25, 1993",
Phil Hubbard,1980,1989,F-C,6-8,215,"December 13, 1956",Michigan
Lester Hudson,2010,2015,G,6-3,190,"August 7, 1984",University of Tennessee at Martin
Troy Hudson,1998,2008,G,6-1,170,"March 13, 1976","Missouri, Southern Illinois"
Marcelo Huertas,2016,2017,G,6-3,200,"May 25, 1983",
Kevin Huerter,2019,2021,G,6-7,190,"August 27, 1998",Maryland
Josh Huestis,2016,2018,F,6-7,230,"December 19, 1991",Stanford
Nate Huffman,2003,2003,C,7-1,245,"April 2, 1975",Central Michigan University
Alfredrick Hughes,1986,1986,F-G,6-5,215,"July 19, 1962",Loyola Chicago
Eddie Hughes,1988,1990,G,5-10,165,"May 26, 1960",Colorado State
Elijah Hughes,2021,2021,F,6-6,215,"March 10, 1998","Syracuse, East Carolina University"
Kim Hughes,1976,1981,C,6-11,220,"June 4, 1952",Wisconsin
Larry Hughes,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis
Rick Hughes,2000,2000,F,6-9,235,"August 22, 1973",Thomas More College
Robbie Hummel,2014,2015,F,6-8,215,"March 8, 1989",Purdue
Ryan Humphrey,2003,2005,F,6-8,235,"July 24, 1979","Oklahoma, Notre Dame"
Isaac Humphries,2019,2019,C,7-0,255,"January 5, 1998",Kentucky
Jay Humphries,1985,1995,G,6-3,185,"October 17, 1962",Colorado
Kris Humphries,2005,2017,F-C,6-9,235,"February 6, 1985",Minnesota
Brandon Hunter,2004,2005,F,6-7,260,"November 24, 1980",Ohio University
Cedric Hunter,1992,1992,G,6-0,180,"January 16, 1965",Kansas
Chris Hunter,2010,2010,F,6-11,240,"July 7, 1984",Michigan
De'Andre Hunter,2020,2021,F,6-7,225,"December 2, 1997",Virginia
Lindsey Hunter,1994,2010,G,6-2,170,"December 3, 1970","Alcorn State, Jackson State University"
Othello Hunter,2009,2010,F,6-8,225,"May 28, 1986",Ohio State
R.J. Hunter,2016,2019,G,6-5,185,"October 24, 1993",Georgia State University
Steven Hunter,2002,2010,C,7-0,220,"October 31, 1981",DePaul
Vince Hunter,2018,2018,F,6-8,208,"August 5, 1994",Texas-El Paso
Bobby Hurley,1994,1998,G,6-0,165,"June 28, 1971",Duke
Geoff Huston,1980,1987,G,6-2,175,"November 8, 1957",Texas Tech
Chandler Hutchison,2019,2021,G,6-7,210,"April 26, 1996",Boise State
