PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",Maryland
Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",Utah
James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State
Luka Doncic,2019,2021,G-F,6-7,230,"February 28, 1999",
Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence
Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",Missouri
Aleksandar aora‘evic,1997,1997,G,6-2,198,"August 26, 1967",
Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",Georgia
Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",Memphis
Tyler Dorsey,2018,2019,G,6-5,183,"February 18, 1996",Oregon
Luguentz Dort,2020,2021,G,6-3,220,"April 19, 1999",Arizona State
Damyean Dotson,2018,2021,G,6-5,210,"May 6, 1994","Oregon, Houston"
Devon Dotson,2021,2021,G,6-2,185,"August 2, 1999",Kansas
Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",Illinois
John Douglas,1982,1983,G,6-2,170,"June 12, 1956",Kansas
Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",Alabama
Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse
Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State"
Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",Memphis
Sekou Doumbouya,2020,2021,F,6-8,230,"December 23, 2000",
Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Tech
Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola Chicago
PJ Dozier,2018,2021,G,6-6,205,"October 25, 1996",South Carolina
Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",South Carolina
Goran Dragic,2009,2021,G,6-3,190,"May 6, 1986",
Zoran Dragic,2015,2015,G-F,6-5,200,"June 22, 1989",
Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas"
Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso
John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University
Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",Missouri
Larry Drew,2015,2018,G,6-2,180,"March 5, 1990","UNC, UCLA"
Clyde Drexler,1984,1998,G,6-7,210,"June 22, 1962",Houston
Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo
Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",
Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954",UCLA
Andre Drummond,2013,2021,C,6-10,279,"August 10, 1993",UConn
Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale
Jared Dudley,2008,2021,F-G,6-6,237,"July 10, 1985",Boston College
Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",Detroit Mercy
Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke
Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",Wisconsin
Joe Dumars,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University
Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State
Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City
Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest
Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",South Carolina
Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke
Kris Dunn,2017,2020,G,6-3,205,"March 18, 1994",Providence
T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",Alabama
Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",LSU
Kevin Durant,2008,2021,F-G,6-10,240,"September 29, 1988",Texas
John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown
Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State
Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",BYU
Trevon Duval,2019,2019,G,6-2,189,"August 3, 1998",Duke
Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959",Cal State Long Beach
Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",UConn
