PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Kawhi Leonard,2012,2021,F,6-7,225.0,"June 29, 1991",San Diego State
Meyers Leonard,2013,2021,C-F,7-0,260.0,"February 27, 1992",Illinois
Jim Les,1989,1995,G,5-11,165.0,"August 18, 1963","Cleveland State University, Bradley"
Travis Leslie,2012,2012,G,6-4,205.0,"March 29, 1990",Georgia
Ronnie Lester,1981,1986,G,6-2,175.0,"January 1, 1959",Iowa
Clifford Lett,1990,1991,G,6-3,170.0,"December 23, 1965",Florida
Jon Leuer,2012,2019,F,6-10,228.0,"May 14, 1989",Wisconsin
Fat Lever,1983,1994,G,6-3,170.0,"August 18, 1960",Arizona State
Cliff Levingston,1983,1995,F,6-8,210.0,"January 4, 1961",Wichita State
Cedric Lewis,1996,1996,F-C,6-10,235.0,"September 24, 1969",Maryland
Kira Lewis,2021,2021,G,6-3,165.0,"April 6, 2001",Alabama
Martin Lewis,1996,1997,F,6-5,210.0,"April 28, 1975","Butler County Community College, Seward County Community College"
Quincy Lewis,2000,2004,F,6-7,215.0,"June 26, 1977",Minnesota
Ralph Lewis,1988,1990,F-G,6-6,200.0,"March 28, 1963",La Salle
Rashard Lewis,1999,2014,F,6-10,215.0,"August 8, 1979",
Reggie Lewis,1988,1993,G-F,6-7,195.0,"November 21, 1965",Northeastern University
Marcus Liberty,1991,1994,F,6-8,205.0,"October 27, 1968",Illinois
Todd Lichti,1990,1994,G-F,6-4,205.0,"January 8, 1967",Stanford
DeAndre Liggins,2012,2018,G,6-6,209.0,"March 31, 1988",Kentucky
Damian Lillard,2013,2021,G,6-2,195.0,"July 15, 1990",Weber State
Jeremy Lin,2011,2019,G,6-3,200.0,"August 23, 1988",Harvard University
Steve Lingenfelter,1983,1984,F,6-9,225.0,"June 10, 1958","Minnesota, South Dakota State"
Alton Lister,1982,1998,C-F,7-0,240.0,"October 1, 1958",Arizona State
Nassir Little,2020,2020,F,6-5,220.0,"February 11, 2000",UNC
Randy Livingston,1997,2007,G,6-4,209.0,"April 2, 1975",LSU
Shaun Livingston,2005,2019,G,6-7,192.0,"September 11, 1985",
Horacio Llamas Grey,1997,1998,C,6-11,285.0,"July 17, 1973",Grand Canyon University
Lewis Lloyd,1982,1990,G-F,6-6,205.0,"February 22, 1959",Drake University
Scott Lloyd,1977,1983,C-F,6-10,230.0,"December 19, 1952",Arizona State
Rob Lock,1989,1989,F,6-9,225.0,"May 22, 1966",Kentucky
Darrell Lockhart,1984,1984,C,6-9,245.0,"September 14, 1960",Auburn
Ian Lockhart,1991,1991,F,6-8,240.0,"June 25, 1967",Tennessee
Kevin Loder,1982,1984,F-G,6-6,205.0,"March 15, 1959","Kentucky State University, Alabama State University"
Zach Lofton,2019,2019,G,6-4,180.0,"November 18, 1992","Illinois State, Texas Southern, New Mexico State"
Brad Lohaus,1988,1998,F-C,6-11,230.0,"September 29, 1964",Iowa
Art Long,2001,2003,F-C,6-9,250.0,"October 1, 1972",Cincinnati
Grant Long,1989,2003,F,6-8,225.0,"March 12, 1966",Eastern Michigan
John Long,1979,1997,G-F,6-5,195.0,"August 28, 1956",Detroit Mercy
Shawn Long,2017,2017,C-F,6-9,255.0,"January 29, 1993",Louisiana
Luc Longley,1992,2001,C,7-2,265.0,"January 19, 1969",New Mexico
Kevon Looney,2016,2021,F-C,6-9,222.0,"February 6, 1996",UCLA
Brook Lopez,2009,2021,C,7-0,282.0,"April 1, 1988",Stanford
Felipe Lopez,1999,2002,G,6-5,199.0,"December 19, 1974",St. John's
Raul Lopez,2004,2005,G,6-1,170.0,"April 15, 1980",
Robin Lopez,2009,2021,C,7-0,281.0,"April 1, 1988",Stanford
Ryan Lorthridge,1995,1995,G,6-4,190.0,"July 27, 1972",Jackson State University
Kevin Love,2009,2021,F,6-8,251.0,"September 7, 1988",UCLA
Sidney Lowe,1984,1990,G,6-0,195.0,"January 21, 1960",NC State
Kyle Lowry,2007,2021,G,6-0,196.0,"March 25, 1986",Villanova
Jordan Loyd,2019,2019,G,6-4,210.0,"July 27, 1993","Furman University, University of Indianapolis"
John Lucas,1977,1990,G,6-3,175.0,"October 31, 1953",Maryland
Kalin Lucas,2015,2019,G,6-1,195.0,"May 24, 1989",Michigan State
Maurice Lucas,1975,1988,F-C,6-9,215.0,"February 18, 1952",Marquette
John Lucas III,2006,2017,G,5-11,166.0,"November 21, 1982","Baylor, Oklahoma State"
Tyronn Lue,1999,2009,G,6-0,175.0,"May 3, 1977",Nebraska
Timothe Luwawu-Cabarrot,2017,2021,F,6-7,220.0,"May 9, 1995",
Tyler Lydon,2018,2019,F,6-10,225.0,"April 9, 1996",Syracuse
Trey Lyles,2016,2021,F,6-9,234.0,"November 5, 1995",Kentucky
George Lynch,1994,2005,F,6-8,218.0,"September 3, 1970",UNC
Kevin Lynch,1992,1993,G-F,6-5,195.0,"December 24, 1968",Minnesota
