PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State
Emanuel Terry,2019,2019,F,6-9,220,"August 21, 1996",Lincoln Memorial
Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",Arizona
Tyrell Terry,2021,2021,G,6-2,160,"September 28, 2000",Stanford
Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",UConn
Daniel Theis,2018,2021,C,6-8,245,"April 4, 1992",
Reggie Theus,1979,1991,G,6-7,190,"October 13, 1957",UNLV
Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's
David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley
Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",Memphis
Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",Kansas
Brodric Thomas,2021,2021,G,6-5,185,"January 28, 1997",Truman State University
Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan
Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan
Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse
Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","Kentucky, Florida State"
Isaiah Thomas,2012,2020,G,5-9,185,"February 7, 1989",Washington
Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana
Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence
James Thomas,2005,2006,F,6-8,235,"November 22, 1980",Texas
Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana
John Thomas,1998,2006,F,6-9,265,"September 8, 1975",Minnesota
Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",New Mexico
Khyri Thomas,2019,2020,G,6-3,210,"May 8, 1996",Creighton
Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",TCU
Lance Thomas,2012,2020,F,6-8,240,"April 24, 1988",Duke
Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine, San Diego State"
Matt Thomas,2020,2021,G,6-4,190,"August 4, 1994",Iowa State
Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova
Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",LSU
Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",Georgia
Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962",Fresno State
Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",Louisville
Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M, Oklahoma State"
Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",UConn
David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",NC State
Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983",UCLA
Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown
Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University
Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",NC State
Klay Thompson,2012,2019,G-F,6-6,215,"February 8, 1990",Washington State
LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",Texas
Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",Minnesota
Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine
Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane
Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse
Tristan Thompson,2012,2021,F-C,6-9,254,"March 13, 1991",Texas
Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State
Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine"
Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",LSU
Sindarius Thornwell,2018,2021,G,6-5,215,"November 15, 1994",South Carolina
Otis Thorpe,1985,2001,F-C,6-9,225,"August 5, 1962",Providence
Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia Tech
Matisse Thybulle,2020,2021,G,6-5,201,"March 4, 1997",Washington
Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University
Xavier Tillman,2021,2021,F,6-8,245,"January 12, 1999",Michigan State
Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State
Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",Oklahoma
Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",Virginia
Ray Tolbert,1982,1989,F,6-9,225,"September 10, 1958",Indiana
Tom Tolbert,1989,1995,F-C,6-7,235,"October 16, 1965","University of California, Irvine, Arizona"
Anthony Tolliver,2009,2020,F-C,6-8,240,"June 1, 1985",Creighton
Rudy Tomjanovich,1971,1981,F,6-8,218,"November 24, 1948",Michigan
Andrew Toney,1981,1988,G,6-3,178,"November 23, 1957",Louisiana
Sedric Toney,1986,1994,G,6-2,178,"April 13, 1962",Dayton
Andy Toolson,1991,1996,G-F,6-6,210,"January 19, 1966",BYU
Bernard Toone,1980,1980,F,6-9,210,"July 14, 1956",Marquette
Obi Toppin,2021,2021,F,6-9,240,"March 4, 1998",Dayton
Oscar Torres,2002,2003,F,6-6,210,"December 18, 1976",
Juan Toscano-Anderson,2020,2021,F,6-6,209,"April 10, 1993",Marquette
Axel Toupane,2016,2017,G-F,6-7,197,"July 23, 1992",
Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",Notre Dame
Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University
Karl-Anthony Towns,2016,2021,C-F,6-11,248,"November 15, 1995",Kentucky
Raymond Townsend,1979,1982,G,6-3,175,"December 20, 1955",UCLA
Robert Traylor,1999,2005,F,6-8,284,"February 1, 1977",Michigan
Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University
Gary Trent,2019,2021,G,6-5,209,"January 18, 1999",Duke
Jeff Trepagnier,2002,2004,G,6-4,200,"July 11, 1979",USC
Allonzo Trier,2019,2020,G,6-4,200,"January 17, 1996",Arizona
Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",Notre Dame
Cezary Trybanski,2003,2004,C,7-2,240,"September 22, 1979",
Jake Tsakalidis,2001,2007,C,7-2,285,"June 10, 1979",
Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",
Alando Tucker,2008,2010,F,6-6,205,"February 11, 1984",Wisconsin
Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969","Georgetown, Wake Forest"
P.J. Tucker,2007,2021,F,6-5,245,"May 5, 1985",Texas
Rayjon Tucker,2020,2020,F,6-5,210,"September 24, 1997",
Trent Tucker,1983,1993,G,6-5,193,"December 20, 1959",Minnesota
Ronny Turiaf,2006,2015,F,6-10,249,"January 13, 1983",Gonzaga
Mirsad Turkcan,2000,2000,F,6-9,236,"June 7, 1976",
Hedo Turkoglu,2001,2015,F,6-10,220,"March 19, 1979",
Andre Turner,1987,1992,G,5-11,160,"December 13, 1964",Memphis
Elston Turner,1982,1989,G-F,6-5,190,"June 10, 1959",Ole Miss
Evan Turner,2011,2020,G,6-6,220,"October 27, 1988",Ohio State
Henry Turner,1990,1995,G-F,6-7,200,"August 18, 1966",Cal State Fullerton
Jeff Turner,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt
John Turner,1992,1992,F,6-8,245,"November 30, 1967","Georgetown, Phillips University"
Myles Turner,2016,2021,C-F,6-11,250,"March 24, 1996",Texas
Wayne Turner,2000,2000,G,6-2,190,"March 22, 1976",Kentucky
Melvin Turpin,1985,1990,C,6-11,240,"December 28, 1960",Kentucky
Dave Twardzik,1973,1980,G,6-1,175,"September 20, 1950",Old Dominion
B.J. Tyler,1995,1995,G,6-1,185,"April 30, 1971","DePaul, Texas"
Jeremy Tyler,2012,2014,C,6-10,260,"June 21, 1991",
Terry Tyler,1979,1989,F-G,6-7,215,"October 30, 1956",Detroit Mercy
