PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Mike Green,1974,1980,C-F,6-10,200,"August 6, 1951",Louisiana Tech
Rickey Green,1978,1992,G,6-0,170,"August 18, 1954",Michigan
Sean Green,1992,1994,G-F,6-5,210,"February 2, 1970","NC State, Iona College"
Sidney Green,1984,1993,F-C,6-9,220,"January 4, 1961",UNLV
Taurean Green,2008,2008,G,6-0,177,"November 28, 1986",Florida
Willie Green,2004,2015,G,6-4,200,"July 28, 1981",Detroit Mercy
Donte Greene,2009,2012,F,6-11,226,"February 21, 1988",Syracuse
Orien Greene,2006,2011,G,6-4,208,"February 4, 1982","Florida, Louisiana"
Dave Greenwood,1980,1991,F-C,6-9,222,"May 27, 1957",UCLA
Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979",Temple
Claude Gregory,1986,1988,F,6-8,205,"December 26, 1958",Wisconsin
John Greig,1983,1983,F,6-7,215,"April 28, 1961",Oregon
Kevin Grevey,1976,1985,G-F,6-5,210,"May 12, 1953",Kentucky
Adrian Griffin,2000,2008,G-F,6-5,217,"July 4, 1974",Seton Hall
Blake Griffin,2011,2021,F,6-9,250,"March 16, 1989",Oklahoma
Eddie Griffin,2002,2007,F-C,6-10,220,"May 30, 1982",Seton Hall
Paul Griffin,1977,1983,F-C,6-9,205,"January 20, 1954",Western Michigan
Taylor Griffin,2010,2010,F,6-7,238,"April 18, 1986",Oklahoma
Darrell Griffith,1981,1991,G,6-4,190,"June 16, 1958",Louisville
Derek Grimm,1998,1998,F,6-9,230,"August 3, 1974",Missouri
Bob Gross,1976,1983,F-G,6-6,200,"August 3, 1953","Seattle University, Cal State Long Beach"
Anthony Grundy,2006,2006,G,6-3,180,"April 15, 1979",NC State
Ernie Grunfeld,1978,1986,G-F,6-6,210,"April 24, 1955",Tennessee
Petur Guomundsson,1982,1989,C,7-2,260,"October 30, 1958",Washington
Marko Guduric,2020,2020,G,6-6,201,"March 8, 1995",
Tom Gugliotta,1993,2005,F,6-10,240,"December 19, 1969",NC State
Andres Guibert,1994,1995,F-C,6-10,225,"October 28, 1968",
Jay Guidinger,1993,1994,C,6-10,255,"August 18, 1969",University of Minnesota Duluth
Jorge Gutierrez,2014,2016,G,6-3,191,"December 27, 1988",California
Kyle Guy,2020,2021,G,6-1,167,"August 11, 1997",Virginia
A.J. Guyton,2001,2003,G,6-1,180,"February 12, 1978",Indiana
